省份,城市,确诊,死亡,治愈,时间
北京,石景山,14,0,0,5/28/2020 8:55
北京,东城,14,0,0,5/28/2020 8:55
北京,顺义,10,0,0,5/28/2020 8:55
北京,怀柔,7,0,0,5/28/2020 8:55
北京,密云,7,0,0,5/28/2020 8:55
北京,门头沟,3,0,0,5/28/2020 8:55
北京,境外输入,174,0,172,5/28/2020 8:55
北京,延庆,1,0,0,5/28/2020 8:55
北京,地区待确认,0,9,409,5/28/2020 8:55
福建,境外输入,62,0,60,5/28/2020 8:55
福建,莆田,56,0,56,5/28/2020 8:55
福建,漳州,20,0,20,5/28/2020 8:55
福建,地区待确认,0,0,0,5/28/2020 8:55
福建,宁德,26,0,26,5/28/2020 8:55
福建,龙岩,6,0,6,5/28/2020 8:55
福建,南平,20,0,20,5/28/2020 8:55
福建,三明,14,0,14,5/28/2020 8:55
福建,泉州,47,0,47,5/28/2020 8:55
福建,厦门,35,0,35,5/28/2020 8:55
福建,福州,72,1,71,5/28/2020 8:55
广东,境外输入,197,0,195,5/28/2020 8:55
广东,广州,377,1,376,5/28/2020 8:55
广东,中山,67,0,67,5/28/2020 8:55
广东,河源,5,0,5,5/28/2020 8:55
广东,湛江,22,0,22,5/28/2020 8:55
广东,珠海,98,1,97,5/28/2020 8:55
广东,汕头,25,0,25,5/28/2020 8:55
广东,揭阳,10,0,10,5/28/2020 8:55
广东,江门,23,0,23,5/28/2020 8:55
广东,梅州,16,0,16,5/28/2020 8:55
广东,佛山,89,0,89,5/28/2020 8:55
广东,深圳,423,3,420,5/28/2020 8:55
广东,肇庆,19,1,18,5/28/2020 8:55
广东,东莞,99,1,98,5/28/2020 8:55
广东,阳江,14,0,14,5/28/2020 8:55
广东,惠州,62,0,62,5/28/2020 8:55
广东,茂名,14,0,14,5/28/2020 8:55
广东,韶关,10,1,9,5/28/2020 8:55
广东,清远,12,0,12,5/28/2020 8:55
广东,地区待确认,0,0,0,5/28/2020 8:55
广东,汕尾,5,0,5,5/28/2020 8:55
广东,潮州,5,0,5,5/28/2020 8:55
天津,境外输入,56,0,55,5/28/2020 8:55
天津,和平区,6,0,6,5/28/2020 8:55
天津,河北区,12,0,12,5/28/2020 8:55
天津,津南区,2,0,2,5/28/2020 8:55
天津,北辰区,6,0,6,5/28/2020 8:55
天津,南开区,6,0,6,5/28/2020 8:55
天津,河东区,15,1,14,5/28/2020 8:55
天津,宁河区,4,0,4,5/28/2020 8:55
天津,宝坻区,60,2,58,5/28/2020 8:55
天津,外地来津,6,0,6,5/28/2020 8:55
天津,滨海新区,3,0,3,5/28/2020 8:55
天津,武清区,2,0,2,5/28/2020 8:55
天津,东丽区,4,0,4,5/28/2020 8:55
天津,河西区,4,0,4,5/28/2020 8:55
天津,西青区,4,0,4,5/28/2020 8:55
天津,红桥区,2,0,2,5/28/2020 8:55
山东,境外输入,25,0,24,5/28/2020 8:55
山东,青岛,65,1,64,5/28/2020 8:55
山东,济宁,260,0,260,5/28/2020 8:55
山东,济南,47,0,47,5/28/2020 8:55
山东,淄博,30,1,29,5/28/2020 8:55
山东,枣庄,24,0,24,5/28/2020 8:55
山东,烟台,47,0,47,5/28/2020 8:55
山东,潍坊,44,0,44,5/28/2020 8:55
山东,威海,38,1,37,5/28/2020 8:55
山东,日照,16,0,16,5/28/2020 8:55
山东,临沂,49,0,49,5/28/2020 8:55
山东,德州,37,2,35,5/28/2020 8:55
山东,滨州,15,0,15,5/28/2020 8:55
山东,菏泽,18,0,18,5/28/2020 8:55
山东,聊城,38,0,38,5/28/2020 8:55
山东,泰安,35,2,33,5/28/2020 8:55
